Time,Sensor,x,y,z
6.125,LHip,1.999024707,23.34322581,0.212421712
6.125,LKne,1.186858721,14.83759398,0.133802817
6.125,LAnk,0.093245666,2.020662936,0.143709826
6.134,RHip,0.686546463,24.87250996,0.261348898
6.134,RKne,2.503612717,14.74829352,0.122047244
6.134,RAnk,0.339293902,2.1,0.15755627
6.134,LHip,1.999024707,23.34322581,0.212421712
6.134,LKne,1.186858721,14.83759398,0.133802817
6.134,LAnk,0.093245666,2.020662936,0.143709826
6.142,RHip,0.846740638,24.21912351,0.204280156
6.142,RKne,2.503612717,14.74829352,0.122047244
6.142,RAnk,0.339293902,2.1,0.15755627
6.142,LHip,1.923927178,23.62193548,0.241649269
6.142,LKne,1.186858721,14.83759398,0.133802817
6.142,LAnk,0.093245666,2.020662936,0.143709826
6.152,RHip,0.846740638,24.21912351,0.204280156
6.152,RKne,2.503612717,14.74829352,0.122047244
6.152,RAnk,0.339293902,2.1,0.15755627
6.152,LHip,1.923927178,23.62193548,0.241649269
6.152,LKne,1.24605367,14.80526316,0.149396378
6.152,LAnk,0.092946802,2.021093414,0.140955005
6.161,RHip,0.846740638,24.21912351,0.204280156
6.161,RKne,2.467485549,14.74573379,0.150262467
6.161,RAnk,0.340669418,2.1,0.168006431
6.161,LHip,1.923927178,23.62193548,0.241649269
6.161,LKne,1.24605367,14.80526316,0.149396378
6.161,LAnk,0.092946802,2.021093414,0.140955005
6.169,RHip,0.804785021,24.69721116,0.213359274
6.169,RKne,2.467485549,14.74573379,0.150262467
6.169,RAnk,0.340669418,2.1,0.168006431
6.169,LHip,1.777308192,23.99354839,0.276617954
6.169,LKne,1.24605367,14.80526316,0.149396378
6.169,LAnk,0.092946802,2.021093414,0.140955005
6.178,RHip,0.804785021,24.69721116,0.213359274
6.178,RKne,2.467485549,14.74573379,0.150262467
6.178,RAnk,0.340669418,2.1,0.168006431
6.178,LHip,1.777308192,23.99354839,0.276617954
6.178,LKne,1.092146803,14.83082707,0.159959759
6.178,LAnk,0.093992827,2.019500646,0.160697888
6.188,RHip,0.804785021,24.69721116,0.213359274
6.188,RKne,2.546965318,14.74786689,0.166010499
